Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Class_Label
0.839299285,0.170988264,0.083983504,0.047367045,0.612100813,web-pro
0.839299285,0.170988264,0.083983504,0.047367045,0.612100813,other
0.839299285,0.170988264,0.083983504,0.047367045,0.612100813,statistic
0.849555053,0.100009218,0.032557281,0.001653615,0.39203621,micro-oop
0.784907042,0.373113798,0.065500749,0.007660128,0.313509081,mobile
0.830269672,0.610332661,0.094850115,0.041251142,0.296324536,mobile
0.830269672,0.610332661,0.094850115,0.041251142,0.296324536,oop
0.92478293,0.089528253,0.138598054,0.011522692,0.161807065,oop
0.502466371,0.231200454,0.321756728,0.253409526,0.897157368,statistic
0.502466371,0.231200454,0.321756728,0.253409526,0.897157368,oop
0.654301422,0.603104823,0.056929568,0.024484187,0.304385253,micro-oop
0.654301422,0.603104823,0.056929568,0.024484187,0.304385253,oop
0.894953661,0.124988726,0.083293539,0.009011015,0.288219526,oop
0.894953661,0.124988726,0.083293539,0.009011015,0.288219526,web-pro
0.689215932,0.625448378,0.197740455,0.037678666,0.223963046,oop
0.689215932,0.625448378,0.197740455,0.037678666,0.223963046,micro-oop
0.881778837,0.04261565,0.072976275,0.003884581,0.432515781,web-pro
0.881778837,0.04261565,0.072976275,0.003884581,0.432515781,micro-oop
0.908483025,0.036053434,0.051867423,0.020315048,0.535220471,oop
0.908483025,0.036053434,0.051867423,0.020315048,0.535220471,web-pro
0.889837107,0.542460686,0.111912273,0.018609271,0.359172437,micro-oop
0.943384851,0.144389307,0.029940162,0.000488135,0.290291329,other
0.943384851,0.144389307,0.029940162,0.000488135,0.290291329,oop
0.923366842,0.150006081,0.125103677,0.030985273,0.290946756,statistic
0.923366842,0.150006081,0.125103677,0.030985273,0.290946756,oop
0.8787684,0.649009111,0.022765417,0.044978232,0.308162695,oop
0.906011979,0.412524934,0.166901669,0.025387785,0.216581176,oop
0.906011979,0.412524934,0.166901669,0.025387785,0.216581176,mobile
0.866666366,0.20275576,0.241201422,0.012423684,0.333722592,database
0.728215565,0.417443328,0.310451543,0.049950356,0.684054596,oop
0.953108782,0.125518958,0.328120626,0.054810383,0.638763509,other
0.83623348,0.463201339,0.027805187,0.00676596,0.456381028,other
0.83623348,0.463201339,0.027805187,0.00676596,0.456381028,micro-oop
0.872175674,0.152406038,0.116153848,0.008162965,0.482848011,micro-oop
0.991006282,0.22400481,0.15218856,0.055775054,0.365119618,oop
0.956737554,0.360674003,0.120429061,0.055310051,0.138726878,oop
0.969204082,0.113048912,0.141419352,0.016013339,0.355974367,web-pro
0.733824442,0.277062371,0.086460352,0.116734729,0.443780019,database
0.918899394,0.425124299,0.151750099,0.056372146,0.293625613,oop
0.918899394,0.425124299,0.151750099,0.056372146,0.293625613,statistic
0.916376926,0.382340601,0.06559954,0.013013331,0.336000778,web-pro
0.921872567,0.207382433,0.187551324,0.061827945,0.411274542,database
0.921872567,0.207382433,0.187551324,0.061827945,0.411274542,micro-oop
0.891822434,0.130765192,0.193116389,0.051916884,0.380360546,database
0.72015597,0.633726061,0.017323669,0.004331328,0.468243086,database
0.72015597,0.633726061,0.017323669,0.004331328,0.468243086,web-pro
0.882063934,0.659759419,0.144990367,0.285391458,0.17675478,web-pro
0.821951158,0.382203523,0.034149823,0.063762728,0.56359977,web-pro
0.735467383,0.639536418,0.367033415,0.306011091,0.073109407,mobile
0.735467383,0.639536418,0.367033415,0.306011091,0.073109407,other
0.818924236,0.221960003,0.158490786,0.050235824,0.416857336,web-pro
0.889510152,0.186706873,0.06138958,0.003612807,0.414090467,oop
0.87390705,0.708135165,0.154859381,0.225880265,0.396809571,oop
0.87390705,0.708135165,0.154859381,0.225880265,0.396809571,web-pro
0.869741242,0.228950619,0.090018612,0.011720368,0.438627968,micro-oop
0.794646731,0.01345706,0.087534941,0.002087447,0.95045464,oop
0.798555686,0.267281679,0.131982335,0.032623671,0.515334953,oop
0.798555686,0.267281679,0.131982335,0.032623671,0.515334953,database
0.931986801,0.037910015,0.049530762,0.00635575,0.346505836,oop
0.894917561,0.742451618,0.195807866,0.258860737,0.300472617,oop
0.894917561,0.742451618,0.195807866,0.258860737,0.300472617,database
0.894917561,0.742451618,0.195807866,0.258860737,0.300472617,web-pro
0.922680447,0.302536702,0.390133527,0.20929758,0.32266759,web-pro
0.871553414,0.425428055,0.111146118,0.002305136,0.389885383,oop
0.871553414,0.425428055,0.111146118,0.002305136,0.389885383,micro-oop
0.896742992,0.809472145,0.082721739,0.069971824,0.205651444,micro-oop
0.896742992,0.809472145,0.082721739,0.069971824,0.205651444,web-pro
0.81656396,0.325550344,0.224020175,0.133295015,0.307664968,web-pro
0.626685113,0.438922894,0.079066931,0.012975419,0.483913342,micro-oop
0.626685113,0.438922894,0.079066931,0.012975419,0.483913342,web-pro
0.462215504,0.240108558,0.432916381,0.258924023,0.999697021,oop
0.959122412,0.433279918,0.069382711,0.017449119,0.210430024,oop
0.959122412,0.433279918,0.069382711,0.017449119,0.210430024,micro-oop
0.746128015,0.335116447,0.023071535,0.000435084,0.802264343,oop
0.746128015,0.335116447,0.023071535,0.000435084,0.802264343,mobile
0.922117543,0.053159109,0.109121223,0.000237248,0.20499596,micro-oop
0.870422919,0.368523895,0.201120947,0.026308423,0.358772274,mobile
0.870422919,0.368523895,0.201120947,0.026308423,0.358772274,other
0.870422919,0.368523895,0.201120947,0.026308423,0.358772274,web-pro
0.94399557,0.222933295,0.147992707,0.042310388,0.369084854,micro-oop
0.94399557,0.222933295,0.147992707,0.042310388,0.369084854,web-pro
0.442499553,0.229947963,0.391321432,0.268781883,0.999357255,other
0.442499553,0.229947963,0.391321432,0.268781883,0.999357255,oop
0.442499553,0.229947963,0.391321432,0.268781883,0.999357255,web-pro
0.882492751,0.200705471,0.141260179,0.018225876,0.305311632,web-pro
0.882492751,0.200705471,0.141260179,0.018225876,0.305311632,micro-oop
0.949054954,0.205927566,0.070687677,0.003857688,0.485536888,micro-oop
0.624167719,0.4340255,0.454383884,0.119199309,0.954799233,database
0.624167719,0.4340255,0.454383884,0.119199309,0.954799233,web-pro
0.906595347,0.734527444,0.239260402,0.067942393,0.296503008,web-pro
0.906595347,0.734527444,0.239260402,0.067942393,0.296503008,oop
0.818215387,0.686568661,0.259879118,0.257729781,0.329759833,web-pro
0.905727722,0.333621466,0.27446339,0.017523836,0.532146042,statistic
0.905727722,0.333621466,0.27446339,0.017523836,0.532146042,web-pro
0.922483411,0.076698653,0.034559927,0.00049432,0.435070614,oop
0.922483411,0.076698653,0.034559927,0.00049432,0.435070614,other
0.696449114,0.569563457,0.107517675,0.154316709,0.167943826,web-pro
0.696449114,0.569563457,0.107517675,0.154316709,0.167943826,micro-oop
0.825670882,0.368426704,0.203215929,0.139495272,0.347789631,statistic
0.872360316,0.070118209,0.36160302,0.05466243,0.27113932,web-pro
0.869284927,0.129830675,0.032005828,0.002025782,0.359096474,web-pro
0.869284927,0.129830675,0.032005828,0.002025782,0.359096474,micro-oop
0.869225624,0.177463202,0.038790406,0.004178447,0.279731619,web-pro
0.869225624,0.177463202,0.038790406,0.004178447,0.279731619,oop
0.92678285,0.381861685,0.032977201,0.003902753,0.26886741,oop
0.92678285,0.381861685,0.032977201,0.003902753,0.26886741,other
0.92678285,0.381861685,0.032977201,0.003902753,0.26886741,web-pro
0.962624734,0.209861548,0.087868516,0.017064689,0.381382618,oop
0.865789883,0.406087335,0.03468982,0.00077978,0.568040219,oop
0.957069267,0.382875398,0.468804561,0.049764659,0.205515277,web-pro
0.784907042,0.373113798,0.065500749,0.007660128,0.313509081,mobile
0.912652405,0.241827108,0.074419257,0.077774568,0.928509792,oop
0.912652405,0.241827108,0.074419257,0.077774568,0.928509792,other
0.473614617,0.223398565,0.334168494,0.266291451,0.872954407,web-pro
0.872686772,0.030708759,0.078080772,0.003155953,0.578120029,other
0.872686772,0.030708759,0.078080772,0.003155953,0.578120029,micro-oop
0.944469013,0.351298873,0.144385395,0.006441092,0.171629949,web-pro
0.750362773,0.223349499,0.351030474,0.079025188,0.24014844,oop
0.867715992,0.227704025,0.152855722,0.064626224,0.404899476,oop
0.906051464,0.602311167,0.148241268,0.042783654,0.244020275,mobile
0.906051464,0.602311167,0.148241268,0.042783654,0.244020275,web-pro
0.844882491,0.408623006,0.045922241,0.004393709,0.194382112,oop
0.863607794,0.446444537,0.24743196,0.053054324,0.301453357,micro-oop
0.863607794,0.446444537,0.24743196,0.053054324,0.301453357,statistic
0.56697094,0.109007056,0.270337984,0.257777277,0.999999999,mobile
0.56697094,0.109007056,0.270337984,0.257777277,0.999999999,oop
0.758499255,0.823257605,0.450530302,0.413465611,0.260537265,web-pro
0.852311196,0.818200227,0.42470179,0.077222529,0.33695259,web-pro
0.852311196,0.818200227,0.42470179,0.077222529,0.33695259,micro-oop
0.87365702,0.094602245,0.04685467,0.00230571,0.451133081,oop
0.865887784,0.329108744,0.338989283,0.051182794,0.458544591,web-pro
0.8721137,0.305312946,0.027361561,0.00116197,0.383423306,web-pro
0.932678738,0.045324532,0.052362216,0.000273193,0.530239717,mobile
0.897438241,0.048290973,0.024433226,0.002658918,0.342732138,mobile
0.673899512,0.179874202,0.0283995,0.02183214,0.476525743,micro-oop
0.673899512,0.179874202,0.0283995,0.02183214,0.476525743,web-pro
0.350255292,0.253385663,0.436532022,0.253658375,0.999996547,web-pro
0.86207403,0.501794851,0.347537226,0.039335485,0.19141365,oop
0.925340816,0.132355544,0.037896013,0.0112078,0.174238528,micro-oop
0.925340816,0.132355544,0.037896013,0.0112078,0.174238528,web-pro
0.624879359,0.264801992,0.020343037,0.008824984,0.047832608,web-pro
0.624879359,0.264801992,0.020343037,0.008824984,0.047832608,database
0.858281326,0.40856471,0.05138546,0.028022018,0.55837673,web-pro
0.858281326,0.40856471,0.05138546,0.028022018,0.55837673,database
0.858281326,0.40856471,0.05138546,0.028022018,0.55837673,oop
0.792238133,0.364254135,0.149199238,0.01523425,0.434159717,oop
0.843466367,0.293460601,0.113645417,0.062242479,0.256178321,statistic
0.843466367,0.293460601,0.113645417,0.062242479,0.256178321,oop
0.917467307,0.463306452,0.161083774,0.024976871,0.362235887,oop
0.917467307,0.463306452,0.161083774,0.024976871,0.362235887,web-pro
0.906755554,0.013538627,0.033472166,0.007098266,0.566613776,web-pro
0.888605512,0.188733109,0.092949426,0.017691997,0.368465502,web-pro
0.932392936,0.097783698,0.132761624,0.0121746,0.380558587,micro-oop
0.896824248,0.631725775,0.4703446,0.103025529,0.241857663,database
0.896824248,0.631725775,0.4703446,0.103025529,0.241857663,web-pro
0.797099568,0.643279332,0.049292409,0.040193245,0.281664997,oop
0.797099568,0.643279332,0.049292409,0.040193245,0.281664997,web-pro
0.988332124,0.107579484,0.139713574,0.018090388,0.327704374,oop
0.884027027,0.264643569,0.091336801,0.012561593,0.302290512,web-pro
