stackoverflow_id,Reputation,Answer,Question,tags,upvote,downvote,ans_vote,ques_vote,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
145587,96695,1005,13,"['go', 'json', 'rest', 'git', 'apiary.io']",4039,445,1295,3189,0.839299285,0.170988264,0.083983504,0.047367045,0.612100813
32133,54050,579,35,"['c#', '.net', 'namespaces', 'typeof', 'f#']",469,2,23,448,0.849555053,0.100009218,0.032557281,0.001653615,0.39203621
320726,113176,2401,47,"['c++', 'python', 'javascript', 'list', 'c']",2837,84,1680,1241,0.894953661,0.124988726,0.083293539,0.009011015,0.288219526
273200,108059,1739,21,"['c#', 'java', 'arrays', '.net', 'asp.net']",1881,60,1011,930,0.689215932,0.625448378,0.197740455,0.037678666,0.223963046
234,122963,586,140,"['c#', 'ruby', 'multithreading', 'volatile', 'locking']",4077,342,1349,3070,0.881778837,0.04261565,0.072976275,0.003884581,0.432515781
438992,159506,4087,16,"['java', 'ruby', 'javascript', 'ruby-on-rails', 'maven']",1860,4188,3346,2702,0.908483025,0.036053434,0.051867423,0.020315048,0.535220471
40347,174147,1427,20,"['c#', 'ms-office', 'ms-word', '.net', 'excel']",5778,373,2147,4004,0.889837107,0.542460686,0.111912273,0.018609271,0.359172437
14637,178049,2378,154,"['python', 'c++', 'bash', 'string', 'linux']",3805,338,1522,2621,0.943384851,0.144389307,0.029940162,0.000488135,0.290291329
2016562,341155,3527,17,"['android', 'android-jetpack-compose', 'material-components-android', 'gradle', 'material-design']",2901,320,2243,978,0.784907042,0.373113798,0.065500749,0.007660128,0.313509081
168225,98265,1058,33,"['c++', 'objective-c', 'stl', 'templates', 'qt']",3954,280,768,3466,0.830269672,0.610332661,0.094850115,0.041251142,0.296324536
721269,181154,4978,17,"['c++', 'c', 'multithreading', 'linux', 'sockets']",4064,4181,3748,4497,0.92478293,0.089528253,0.138598054,0.011522692,0.161807065
428790,107427,650,43,"['r', 'dataframe', 'r-faq', 'missing-data', 'filter']",3303,108,1684,1727,0.502466371,0.231200454,0.321756728,0.253409526,0.897157368
271616,174955,1773,7,"['r', 'r-faq', 'dataframe', 'xts', 'casting']",5847,632,2923,3556,0.923366842,0.150006081,0.125103677,0.030985273,0.290946756
644898,126992,990,1,"['pandas', 'python', 'dataframe', 'indexing', 'hdf5']",252,32,17,267,0.8787684,0.649009111,0.022765417,0.044978232,0.308162695
3937,88466,1816,19,"['c++', 'visual-studio', 'debugging', 'command-line', 'ios']",3428,30,1874,1584,0.906011979,0.412524934,0.166901669,0.025387785,0.216581176
569436,137620,2600,3,"['sql-server', 'sql', 't-sql', 'sql-server-2008', 'xml']",4495,415,2075,2835,0.866666366,0.20275576,0.241201422,0.012423684,0.333722592
201359,234330,4244,20,"['java', 'python', 'scheme', 'string', 'list']",4989,1237,4875,1351,0.728215565,0.417443328,0.310451543,0.049950356,0.684054596
45375,407707,7957,23,"['powershell', 'bash', 'shell', 'windows', 'macos']",25957,870,14087,12740,0.953108782,0.125518958,0.328120626,0.054810383,0.638763509
1140579,147985,3639,16,"['excel', 'vba', 'excel-formula', 'excel-2007', 'cell']",5982,2056,5121,2917,0.654301422,0.603104823,0.056929568,0.024484187,0.304385253
153982,197554,2045,51,"['powershell', 'windows', 'powershell-2.0', '.net', 'string']",639,55,126,568,0.83623348,0.463201339,0.027805187,0.00676596,0.456381028
17174,129454,763,205,"['c#', 'dapper', '.net', 'sql-server', 't-sql']",2103,415,818,1700,0.872175674,0.152406038,0.116153848,0.008162965,0.482848011
577088,148255,859,3,"['python', 'list', 'subprocess', 'shell', 'numpy']",2209,153,906,1456,0.991006282,0.22400481,0.15218856,0.055775054,0.365119618
1708801,156166,1674,24,"['c++', 'c', 'c++11', 'language-lawyer', 'undefined-behavior']",4685,4802,6502,2985,0.956737554,0.360674003,0.120429061,0.055310051,0.138726878
811,158146,479,3,"['javascript', 'html', 'jquery', 'hyperlink', 'string']",4082,1850,1846,4086,0.969204082,0.113048912,0.141419352,0.016013339,0.355974367
426671,244972,3530,57,"['sql', 'sql-server', 'sql-server-2008', 'pivot', 'mysql']",3915,3564,2581,4898,0.733824442,0.277062371,0.086460352,0.116734729,0.443780019
429846,172296,1642,12,"['r', 'dataframe', 'ggplot2', 'plot', 'r-faq']",4692,378,1986,3084,0.918899394,0.425124299,0.151750099,0.056372146,0.293625613
94197,341252,1696,47,"['javascript', 'jquery', 'html', 'css', 'json']",3678,515,2017,2176,0.916376926,0.382340601,0.06559954,0.013013331,0.336000778
71059,62852,920,22,"['c#', 'sql-server', 'xpath', 'xml', 't-sql']",20173,884,7294,13763,0.921872567,0.207382433,0.187551324,0.061827945,0.411274542
61305,276206,4033,2,"['sql-server', 'sql', 't-sql', 'sql-server-2008', 'sql-server-2005']",4613,11276,9398,6491,0.891822434,0.130765192,0.193116389,0.051916884,0.380360546
541136,383118,660,30,"['python', 'dictionary', 'merge', 'exception', 'oop']",3311,1059,2030,2340,0.961853642,0.619167871,0.378870323,0.109266734,0.134200014
1039843,44739,1871,9,"['mysql', 'php', 'sql', 'date', 'database']",256,49,82,223,0.72015597,0.633726061,0.017323669,0.004331328,0.468243086
41116,148220,1744,23,"['git', 'objective-c', 'ios', 'git-branch', 'git-flow']",11565,7062,6437,12190,0.748440561,0.256207803,0.131206283,0.06039871,0.533888033
1090079,63151,579,11,"['c++', 'php', 'c++11', 'language-lawyer', 'regex']",638,235,604,269,0.316559528,0.015781042,0.239464868,0.028476925,0.932426483
4281779,67075,2540,14,"['javascript', 'jquery', 'html', 'php', 'laravel']",4684,2291,4919,2056,0.882063934,0.659759419,0.144990367,0.285391458,0.17675478
761202,64290,781,1,"['git', 'php', 'cakephp', 'javascript', 'git-pull']",4704,2232,2911,4025,0.869760881,0.366737157,0.142168573,0.017605088,0.249334205
21632,108959,355,24,"['string', 'shell', 'sh', 'bash', 'substring']",994,33,130,897,0.821951158,0.382203523,0.034149823,0.063762728,0.56359977
9530,394429,2166,28,"['python', 'c++', 'c', 'objective-c', 'typedef']",9761,615,1648,8728,0.811813783,0.404015599,0.078263966,0.005702911,0.253538659
6203226,7043,339,1,"['r', 'ggplot2', 'facet-wrap', 'geom-hline', 'dataframe']",205,134,155,184,0.848559856,0.718596659,0.102649483,0.195559951,0.210315097
352552,82652,1109,300,"['javascript', 'jquery', 'c#', 'html', 'linq']",8742,390,4142,4990,0.838977684,0.030391678,0.264555516,0.052858158,0.397471149
51197,132019,276,506,"['python', 'pip', 'module', 'unix', 'hardlink']",3884,38,1973,1949,0.589760951,0.363184233,0.043933957,0.085132623,0.249218649
142822,94069,2360,1,"['c#', 'java', 'asp.net', '.net', 'io']",2502,3447,4092,1857,0.937332841,0.592260373,0.064836042,0.004246376,0.327355944
135531,144610,1127,13,"['sql-server', 'sql', 't-sql', 'system-tables', 'mongodb']",936,39,247,728,0.68932621,0.228307411,0.118710565,0.016136751,0.412909197
116923,81960,533,31,"['c#', '.net', 'sql', 'authentication', 'openid-connect']",3142,81,912,2311,0.706649696,0.335472815,0.036956057,0.029943483,0.255840265
1864976,126610,1190,5,"['git', 'version-control', 'branch', 'feature-branch', 'rebase']",495,328,267,556,0.904960469,0.547889927,0.123440079,0.008573618,0.308983919
272824,69108,306,6,"['android', 'android-layout', 'textview', 'android-shapedrawable', 'border']",788,47,350,485,0.321984404,0.245249994,0.004541947,0.019653942,0.725566155
1838509,120558,2304,69,"['r', 'ggplot2', 'plot', 'dataframe', 'printing']",3921,624,2363,2182,0.66738769,0.600663627,0.203615605,0.093846796,0.286492145
148870,515659,3413,2,"['git', 'python', 'git-commit', 'php', 'github']",952,274,167,1059,0.955722644,0.315857706,0.18598369,0.052140401,0.252900058
1741671,48313,448,39,"['android', 'android-studio', 'shortcut', 'android-manifest', 'google-play']",2240,2011,2311,1940,0.70109335,0.491482722,0.074067139,0.017768212,0.298011806
216021,60958,510,146,"['java', 'jpa', 'maven', 'hibernate', 'eclipse']",2791,181,1320,1652,0.69001298,0.083979013,0.196787007,0.251561766,0.99999275
61158,69497,1391,50,"['rx-java', 'java', 'rx-java2', 'android', 'reactive-programming']",656,2,43,615,0.912787272,0.14030283,0.031167538,0.000529039,0.625313308
51685,159832,5540,2,"['python', 'javascript', 'django', 'ubuntu', 'lxml']",2242,2370,1528,3084,0.825896207,0.011876608,0.100041951,0.010635773,0.411555449
66353,73326,623,3,"['git', 'perl', 'squash', 'vim', 'html']",2189,14,822,1381,0.580780137,0.02452407,0.039570282,0.065734159,0.758173484
4668,164968,1301,447,"['magento', 'php', 'javascript', 'magento-1.9', 'oop']",2418,283,498,2203,0.952812411,0.214736318,0.265394377,0.003901679,0.284655013
95810,866669,6247,6,"['python', 'list', 'multidimensional-array', 'flatten', 'dictionary']",826,50,91,785,0.95689105,0.128307394,0.020747161,0.013520482,0.404848786
31671,484252,4769,491,"['javascript', 'php', 'html', 'css', 'jquery']",19813,2752,11297,11268,0.699062658,0.223605412,0.121207553,0.049773763,0.328618623
9204,168941,3640,502,"['scala', 'kotlin', 'java', 'haskell', 'javascript']",38159,14,3997,34176,0.969420584,0.630440876,0.137378434,0.089069491,0.146453199
106979,74831,466,107,"['python', 'dictionary', 'list-comprehension', 'dictionary-comprehension', 'list']",1728,51,215,1564,0.740415092,0.058350971,0.279832367,0.001144684,0.579855883
844882,83163,746,19,"['android', 'java', 'android-fragments', 'android-resources', 'android-drawable']",2656,910,1989,1577,0.916155872,0.103809334,0.040201779,0.009942023,0.327506138
5246885,134905,4967,69,"['firebase', 'android', 'google-cloud-firestore', 'java', 'firebase-realtime-database']",1773,1512,2631,654,0.735467383,0.639536418,0.367033415,0.306011091,0.073109407
49153,264803,229,833,"['jquery', 'setinterval', 'timer', 'clearinterval', 'counter']",7513,723,2417,5819,0.818924236,0.221960003,0.158490786,0.050235824,0.416857336
440502,81118,1712,27,"['c#', '.net', 'asp.net-web-api', 'asp.net', 'asp.net-mvc']",1354,106,887,573,0.973814361,0.499337675,0.164804365,0.048278432,0.323776833
2443,92252,294,185,"['java', 'windows', 'cmd', 'regex', 'php']",1703,115,289,1529,0.935324268,0.194061052,0.133651272,0.009147013,0.27803639
610569,118248,1120,773,"['python', 'nltk', 'nlp', 'wordnet', 'n-gram']",3817,246,1354,2709,0.925956962,0.063062077,0.098218027,0.006264743,0.526108397
59111,95405,841,3,"['c#', '.net', 'linq', 'asp.net', 'list']",2596,8,1466,1138,0.872305324,0.506621279,0.205465547,0.062729851,0.24129705
1438393,76129,1451,2,"['php', 'date', 'arrays', 'regex', 'datetime']",2958,1824,1661,3121,0.597505142,0.399226335,0.050528804,0.035907068,0.279004378
3001736,58785,2031,40,"['javascript', 'jquery', 'types', 'regex', 'html']",229,995,926,298,0.749139873,0.634651527,0.03439233,0.411307135,0.548649447
165297,59040,1206,13,"['regex', 'c#', 'apache-flex', 'actionscript-3', 'javascript']",2592,58,908,1742,0.717627862,0.099609651,0.09275839,7.96E-05,0.218133567
149482,114568,553,372,"['c', 'python', 'c++', 'gcc', 'linux']",4007,382,1623,2766,0.906569524,0.296934687,0.165138671,0.002854985,0.217336814
5728,74210,1297,35,"['c#', 'system.reactive', '.net', 'reactiveui', 'windows']",332,104,25,411,0.9099611,0.067591375,0.076147543,0.00574021,0.368752305
280222,68374,1366,38,"['c#', '.net', 'entity-framework', 'saml-2.0', 'asp.net']",3142,229,1427,1944,0.249584701,0.067409722,0.175373341,0.050266691,0.914537039
757508,73471,3346,2,"['facebook', 'facebook-graph-api', 'javascript', 'facebook-javascript-sdk', 'php']",650,8782,8647,785,0.522768279,0.301797419,0.046770415,0.011463684,0.979357292
3448419,95373,1040,1,"['java', 'jvm', 'performance', 'jvm-hotspot', 'jit']",687,550,641,596,0.889510152,0.186706873,0.06138958,0.003612807,0.414090467
1932150,125163,1536,35,"['c++', 'c++11', 'templates', 'unique-ptr', 'stl']",1785,643,1821,607,0.87390705,0.708135165,0.154859381,0.225880265,0.396809571
1384297,112657,1306,4,"['spring-boot', 'java', 'spring', 'spring-mvc', 'maven']",804,273,333,744,0.882308848,0.28195539,0.12956816,0.106561043,0.381013316
508601,53275,463,6,"['mongodb', 'c#', 'mongodb-.net-driver', 'mongodb-query', '.net']",1659,50,1024,685,0.678068005,0.788302709,0.046152073,0.105282381,0.301952297
357693,60879,966,11,"['c#', 'encoding', 'base64', 'asp.net-mvc', 'asp.net']",387,10,24,373,0.869741242,0.228950619,0.090018612,0.011720368,0.438627968
305,148591,280,75,"['vim', 'vi', 'editor', 'keyboard-shortcuts', 'python']",4653,480,2219,2914,0.889680016,0.249855712,0.303993483,0.03540114,0.369110887
414076,125256,1093,7,"['c#', '.net', 'linq', 'string', 'arrays']",3356,2184,2097,3443,0.951823581,0.481980284,0.434051509,0.088889517,0.178969888
918959,131709,2416,19,"['python', 'c', 'python-3.x', 'string', 'eval']",5948,15841,14819,6970,0.468785074,0.103309883,0.043176089,0.008569623,0.434692306
148357,72122,792,15,"['swift', 'ios', 'arrays', 'properties', 'objective-c']",873,114,471,516,0.884858713,0.28486317,0.044475904,0.011299916,0.358750768
548225,771406,25791,11,"['regex', 'bash', 'shell', '.htaccess', 'apache']",34549,2648,21191,16006,0.552545515,0.653813312,0.181205041,0.039507743,0.367678593
350087,114933,1753,42,"['ruby-on-rails', 'ruby', 'ruby-on-rails-3', 'rspec', 'rails-activerecord']",2629,15,841,1803,0.756568862,0.315583749,0.718566757,0.150567126,0.800592531
85134,129634,635,0,"['git', 'postgresql', 'sql', 'git-stash', 'database']",774,21,94,701,0.351369517,0.10120656,0.033697519,0.008046463,0.581737963
3647361,60448,851,6,"['c++', 'c++11', 'language-lawyer', 'c++14', 'templates']",1567,521,1412,676,0.794646731,0.01345706,0.087534941,0.002087447,0.95045464
11568,82078,229,38,"['javascript', 'time', 'date', 'time-format', 'php']",1791,121,705,1207,0.654768742,0.263830506,0.214363784,0.060710592,0.676151689
2756547,116790,4944,5,"['spring-integration', 'spring', 'java', 'spring-boot', 'spring-kafka']",4811,37,3666,1182,0.804509774,0.866953715,0.03286406,0.077867456,0.480049996
114251,386440,11116,67,"['jquery', 'javascript', 'html', 'css', 'angularjs']",3364,152,1167,2349,0.941292722,0.300444339,0.176233991,0.000725473,0.235844257
559784,117803,1303,18,"['r', 'data.table', 'ggplot2', 'dataframe', 'plot']",9561,1002,3442,7121,0.809468553,0.467289561,0.107713337,0.091350872,0.310422558
2167109,10897,250,2,"['aurelia', 'javascript', 'typescript', 'html', 'aurelia-templating']",296,20,71,245,0.800459273,0.37741204,0.23467458,0.077767546,0.267274104
161801,88843,782,80,"['python', 'git', 'version-control', 'git-filter-branch', 'git-rewrite-history']",3687,92,2141,1638,0.967728378,0.089697323,0.042095457,0.000803416,0.272030609
263693,446914,5128,13,"['c#', 'async-await', 'asynchronous', '.net', 'task-parallel-library']",1802,1294,709,2387,0.908191463,0.273164483,0.083517692,0.01300954,0.312032491
190201,65419,755,18,"['groovy', 'grails', 'java', 'emacs', 'amazon-web-services']",2014,146,810,1350,0.913751431,0.481182796,0.09636854,0.005316129,0.148996753
1223693,58445,750,77,"['java', 'javascript', 'jquery', 'arraylist', 'list']",1346,2967,2892,1421,0.888088216,0.474974628,0.183134906,0.036584825,0.326284701
160173,88481,216,133,"['javascript', 'html', 'url', 'url-rewriting', 'friendly-url']",1878,412,657,1633,0.809637579,0.313576256,0.088518767,0.008305572,0.270247632
23501,138712,682,34,"['javascript', 'arrays', 'object', 'c', 'c++']",2699,209,644,2264,0.881791044,0.345822811,0.057649357,0.007304986,0.39013467
43832,70145,1629,24,"['ios', 'core-data', 'swift', 'objective-c', 'iphone']",440,58,100,398,0.867196455,0.077699769,0.062515113,0.022434715,0.375098686
26051,54338,435,28,"['ruby', 'git', 'ruby-on-rails', 'gitignore', 'version-control']",1353,171,276,1248,0.812582927,0.053051781,0.036143994,0.001744704,0.651884642
466862,105068,2599,5,"['java', 'jdbc', 'firebird', 'sql', 'mysql']",9199,28633,14981,22851,0.798555686,0.267281679,0.131982335,0.032623671,0.515334953
4265352,69839,2118,0,"['php', 'mysql', 'git', 'sql', 'greatest-n-per-group']",1352,2541,1773,2120,0.951648455,0.253245654,0.014420479,9.48E-06,0.396045022
5597,67413,531,1,"['c++', 'multithreading', 'c++11', 'sqlite', 'sql']",554,16,123,447,0.847621553,0.745152535,0.121522297,0.069764988,0.195051884
28004,74227,1133,311,"['c#', 'asp.net', 'jquery', 'javascript', 'html']",3715,486,1351,2850,0.419257316,0.44640474,0.103610281,0.014704625,0.332580089
2140,107566,623,31,"['objective-c', 'cocoa', 'ios', 'core-data', 'nsstring']",3478,92,943,2627,0.968910676,0.927343996,0.389602651,0.264449428,0.051505218
2069064,292655,4281,219,"['c++', 'c++11', 'c++17', 'c++20', 'templates']",6067,2679,3178,5568,0.931986801,0.037910015,0.049530762,0.00635575,0.346505836
390330,268854,4031,93,"['typescript', 'javascript', 'node.js', 'reactjs', 'angular']",1341,47,458,930,0.904423008,0.155464211,0.111570154,0.004140894,0.403687987
88851,60907,263,16,"['python', 'string', 'integer', 'c', 'assembly']",3847,94,1040,2901,0.630939835,0.48947145,0.600445099,0.165333155,0.889398975
