stackoverflow_id,Reputation,Answer,Question
145587,96695,1005,13
32133,54050,579,35
320726,113176,2401,47
273200,108059,1739,21
234,122963,586,140
438992,159506,4087,16
40347,174147,1427,20
14637,178049,2378,154
2016562,341155,3527,17
168225,98265,1058,33
721269,181154,4978,17
428790,107427,650,43
271616,174955,1773,7
644898,126992,990,1
3937,88466,1816,19
569436,137620,2600,3
201359,234330,4244,20
45375,407707,7957,23
1140579,147985,3639,16
153982,197554,2045,51
17174,129454,763,205
577088,148255,859,3
1708801,156166,1674,24
811,158146,479,3
426671,244972,3530,57
429846,172296,1642,12
94197,341252,1696,47
71059,62852,920,22
61305,276206,4033,2
541136,383118,660,30
1039843,44739,1871,9
41116,148220,1744,23
1090079,63151,579,11
4281779,67075,2540,14
761202,64290,781,1
21632,108959,355,24
9530,394429,2166,28
6203226,7043,339,1
352552,82652,1109,300
51197,132019,276,506
142822,94069,2360,1
135531,144610,1127,13
116923,81960,533,31
1864976,126610,1190,5
272824,69108,306,6
1838509,120558,2304,69
148870,515659,3413,2
1741671,48313,448,39
216021,60958,510,146
61158,69497,1391,50
51685,159832,5540,2
66353,73326,623,3
4668,164968,1301,447
95810,866669,6247,6
31671,484252,4769,491
9204,168941,3640,502
106979,74831,466,107
844882,83163,746,19
5246885,134905,4967,69
49153,264803,229,833
440502,81118,1712,27
2443,92252,294,185
610569,118248,1120,773
59111,95405,841,3
1438393,76129,1451,2
3001736,58785,2031,40
165297,59040,1206,13
149482,114568,553,372
5728,74210,1297,35
280222,68374,1366,38
757508,73471,3346,2
3448419,95373,1040,1
1932150,125163,1536,35
1384297,112657,1306,4
508601,53275,463,6
357693,60879,966,11
305,148591,280,75
414076,125256,1093,7
918959,131709,2416,19
148357,72122,792,15
548225,771406,25791,11
350087,114933,1753,42
85134,129634,635,0
3647361,60448,851,6
11568,82078,229,38
2756547,116790,4944,5
114251,386440,11116,67
559784,117803,1303,18
2167109,10897,250,2
161801,88843,782,80
263693,446914,5128,13
190201,65419,755,18
1223693,58445,750,77
160173,88481,216,133
23501,138712,682,34
43832,70145,1629,24
26051,54338,435,28
466862,105068,2599,5
4265352,69839,2118,0
5597,67413,531,1
28004,74227,1133,311
2140,107566,623,31
2069064,292655,4281,219
390330,268854,4031,93
88851,60907,263,16
145403,84005,737,0
291550,56060,481,12
383861,148329,2904,2
228109,81514,262,37
6694,85472,831,21
135786,108215,516,69
367401,52944,1408,141
68507,68742,801,61
10947,83231,471,25
1048572,646855,12463,37
5221944,169642,5529,18
204788,49570,758,3
181965,60354,1810,5
20860,550007,9236,14
62082,158369,1014,24
297696,78420,668,4
100478,48894,318,6
522663,65747,1484,820
119081,49817,320,67
2525,55904,770,6
413127,76181,1140,57
1695960,146903,3160,0
905093,49657,281,0
30461,96079,2348,47
61337,47461,362,37
714969,93869,2269,50
298053,101057,2210,7
19679,170239,1612,14
1554,68942,220,4
