twitter_id,stackoverflow_id,question_count,answer_count,reputation,answer_tag,question_tag,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,preferred_tags1,preferred_tags2,preferred_tags3,micro-oop,oop,web-pro,database,mobile,statistic,other
10F1,145587,13,500,74297,"['go', 'json', 'http', 'goroutine', 'struct', 'pointers', 'javascript', 'reflection', 'interface', 'string']","['go', 'javascript', 'python', 'c++', 'linux', 'tap', 'tun', 'aws-sdk', 'aws-cognito', 'aws-sdk-go']",0.839299285,0.170988264,0.083983504,0.047367045,0.612100813,go,javascript,json,0,0,1,0,0,1,0
1tgr,32133,33,500,48461,"['c#', '.net', 'f#', 'winforms', 'generics', 'visual-studio', 'c++', 'windows', 'linq', 'asp.net']","['rust', 'f#', '.net', 'python', 'c#', 'pandas', 'numpy', 'teamcity', 'haskell', 'generic-programming']",0.849555053,0.100009218,0.032557281,0.001653615,0.39203621,c#,.net,f#,1,0,0,0,0,0,0
@agriffini,320726,43,500,99746,"['c++', 'python', 'javascript', 'arrays', 'c++11', 'python-3.x', 'list', 'c', 'algorithm', 'function']","['c++', 'javascript', 'python', 'g++', 'language-lawyer', 'html', 'templates', 'lisp', 'common-lisp', 'clang++']",0.894953661,0.124988726,0.083293539,0.009011015,0.288219526,c++,python,javascript,0,1,1,0,0,0,0
@balarajagopal,273200,21,500,98510,"['c#', 'asp.net', 'java', '.net', 'linq', 'vb.net', 'winforms', 'string', 'xml', 'javascript']","['c#', 'java', 'regex', '.net', 'silverlight-4.0', 'wcf-ria-services', 'linq', 'winforms', 'richtextbox', 'visual-studio-2008']",0.689215932,0.625448378,0.197740455,0.037678666,0.223963046,c#,java,.net,1,1,0,0,0,0,0
@borland,234,127,500,108785,"['c#', 'ruby', '.net', 'ruby-on-rails', 'wpf', 'javascript', 'multithreading', 'unit-testing', 'c++', 'asp.net']","['c#', 'swift', 'ios', '.net', 'android', 'wpf', 'xcode', 'ruby', 'ruby-on-rails', 'objective-c']",0.881778837,0.04261565,0.072976275,0.003884581,0.432515781,c#,ruby,.net,1,0,1,0,0,0,0
@dave_newton,438992,15,500,148854,"['javascript', 'java', 'struts2', 'reactjs', 'ruby', 'ruby-on-rails', 'jsp', 'jquery', 'node.js', 'struts']","['ruby', 'reactjs', 'javascript', 'ruby-on-rails', 'electron', 'electron-forge', 'node.js', 'rspec', 'ruby-on-rails-5', 'electron-builder']",0.908483025,0.036053434,0.051867423,0.020315048,0.535220471,javascript,reactjs,ruby,0,0,1,0,0,0,0
@dirvo,40347,20,500,155742,"['c#', 'ms-word', '.net', 'vba', 'ms-office', 'vsto', 'xml', 'visual-studio', 'excel', 'vb.net']","['c#', 'windows', 'performance', '.net', 'process', 'wpf', 'wix', 'struct', 'immutability', 'mutable']",0.889837107,0.542460686,0.111912273,0.018609271,0.359172437,c#,.net,0,1,0,0,0,0,0,0
@frozenfractal,14637,127,500,137718,"['python', 'c++', 'javascript', 'java', 'linux', 'bash', 'android', 'python-3.x', 'c', 'html']","['c++', 'android', 'git', 'css', 'python', 'winapi', 'flutter', 'google-bigquery', 'javascript', 'html']",0.943384851,0.144389307,0.029940162,0.000488135,0.290291329,python,c++,javascript,0,1,1,0,0,0,0
@GabMarioPower,2016562,16,500,149576,"['android', 'material-components-android', 'material-components', 'material-design', 'android-layout', 'java', 'android-textinputlayout', 'android-button', 'kotlin', 'android-toolbar']","['android', 'android-support-library', 'material-design', 'firebase', 'android-gradle-plugin', 'material-components', 'material-components-android', 'crashlytics', 'gradle', 'android-studio']",0.784907042,0.373113798,0.065500749,0.007660128,0.313509081,android,android,android,0,0,0,0,1,0,0
@GeorgFritzsche,168225,33,500,90295,"['c++', 'objective-c', 'iphone', 'npapi', 'templates', 'browser-plugin', 'c', 'cocoa', 'boost', 'macos']","['c++', 'objective-c', 'cocoa', 'templates', 'macos', 'com', 'design-patterns', 'friend', 'metaprogramming', 'javascript']",0.830269672,0.610332661,0.094850115,0.041251142,0.296324536,c++,objective-c,html,0,1,1,0,1,0,0
