twitter_id,stackoverflow_id,location,question_count,answer_count,reputation,top_tags_answers,top_tags_question,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range,Conservation,Openness to change,Hedonism,Self-enhancement,Self-transcendence
10F1,145587,"['Louisiana, USA']",13,500,74297,"['go', 'json', 'http', 'goroutine', 'struct', 'pointers', 'javascript', 'reflection', 'interface', 'string']","['go', 'javascript', 'python', 'c++', 'linux', 'tap', 'tun', 'aws-sdk', 'aws-cognito', 'aws-sdk-go']",0.839299285,0.170988264,0.083983504,0.047367045,0.612100813,0.068206879,0.487870653,0.294548456,0.349291605,0.393111908
1tgr,32133,['London'],33,500,48461,"['c#', '.net', 'f#', 'winforms', 'generics', 'visual-studio', 'c++', 'windows', 'linq', 'asp.net']","['rust', 'f#', '.net', 'python', 'c#', 'pandas', 'numpy', 'teamcity', 'haskell', 'generic-programming']",0.849555053,0.100009218,0.032557281,0.001653615,0.39203621,0.005143737,0.303713888,0.103960224,0.25341649,0.167263817
@agriffini,320726,"['45.326849,8.864019']",43,500,99746,"['c++', 'python', 'javascript', 'arrays', 'c++11', 'python-3.x', 'list', 'c', 'algorithm', 'function']","['c++', 'javascript', 'python', 'g++', 'language-lawyer', 'html', 'templates', 'lisp', 'common-lisp', 'clang++']",0.894953661,0.124988726,0.083293539,0.009011015,0.288219526,0.002288846,0.427715507,0.185423065,0.320853265,0.156452362
@balarajagopal,273200,[''],21,500,98510,"['c#', 'asp.net', 'java', '.net', 'linq', 'vb.net', 'winforms', 'string', 'xml', 'javascript']","['c#', 'java', 'regex', '.net', 'silverlight-4.0', 'wcf-ria-services', 'linq', 'winforms', 'richtextbox', 'visual-studio-2008']",0.689215932,0.625448378,0.197740455,0.037678666,0.223963046,0.195420363,0.169560102,0.183329072,0.311704366,0.14689914
@borland,234,"['Hamilton, New Zealand']",127,500,108785,"['c#', 'ruby', '.net', 'ruby-on-rails', 'wpf', 'javascript', 'multithreading', 'unit-testing', 'c++', 'asp.net']","['c#', 'swift', 'ios', '.net', 'android', 'wpf', 'xcode', 'ruby', 'ruby-on-rails', 'objective-c']",0.881778837,0.04261565,0.072976275,0.003884581,0.432515781,0.003600251,0.500547176,0.177144559,0.488890551,0.1518569
@dave_newton,438992,['The Sprawl'],15,500,148854,"['javascript', 'java', 'struts2', 'reactjs', 'ruby', 'ruby-on-rails', 'jsp', 'jquery', 'node.js', 'struts']","['ruby', 'reactjs', 'javascript', 'ruby-on-rails', 'electron', 'electron-forge', 'node.js', 'rspec', 'ruby-on-rails-5', 'electron-builder']",0.908483025,0.036053434,0.051867423,0.020315048,0.535220471,0.011207931,0.599011051,0.307112054,0.55653526,0.356275679
@dirvo,40347,['Europe'],20,500,155742,"['c#', 'ms-word', '.net', 'vba', 'ms-office', 'vsto', 'xml', 'visual-studio', 'excel', 'vb.net']","['c#', 'windows', 'performance', '.net', 'process', 'wpf', 'wix', 'struct', 'immutability', 'mutable']",0.889837107,0.542460686,0.111912273,0.018609271,0.359172437,0.016240991,0.321545556,0.116004512,0.118030539,0.144152494
@frozenfractal,14637,['The Netherlands'],127,500,137718,"['python', 'c++', 'javascript', 'java', 'linux', 'bash', 'android', 'python-3.x', 'c', 'html']","['c++', 'android', 'git', 'css', 'python', 'winapi', 'flutter', 'google-bigquery', 'javascript', 'html']",0.943384851,0.144389307,0.029940162,0.000488135,0.290291329,0.003529202,0.328344158,0.072862625,0.160058841,0.161816638
@GabMarioPower,2016562,[''],16,500,149576,"['android', 'material-components-android', 'material-components', 'material-design', 'android-layout', 'java', 'android-textinputlayout', 'android-button', 'kotlin', 'android-toolbar']","['android', 'android-support-library', 'material-design', 'firebase', 'android-gradle-plugin', 'material-components', 'material-components-android', 'crashlytics', 'gradle', 'android-studio']",0.784907042,0.373113798,0.065500749,0.007660128,0.313509081,0.066100743,0.258361847,0.059583816,0.132969914,0.140508034
@GeorgFritzsche,168225,"['Berlin, Germany']",33,500,90295,"['c++', 'objective-c', 'iphone', 'npapi', 'templates', 'browser-plugin', 'c', 'cocoa', 'boost', 'macos']","['c++', 'objective-c', 'cocoa', 'templates', 'macos', 'com', 'design-patterns', 'friend', 'metaprogramming', 'javascript']",0.830269672,0.610332661,0.094850115,0.041251142,0.296324536,0.087667271,0.477536483,0.136708782,0.275828316,0.192226989
@JoelKatz,721269,"['San Francisco, CA']",17,500,156532,"['c++', 'c', 'multithreading', 'pointers', 'sockets', 'tcp', 'pthreads', 'linux', 'mutex', 'arrays']","['c++', 'boost', 'boost-asio', 'multithreading', 'stl', 'linux', 'sqlite', 'map', 'language-lawyer', 'undefined-behavior']",0.92478293,0.089528253,0.138598054,0.011522692,0.161807065,0.006982397,0.425766451,0.16762478,0.548631411,0.108012531
@JorisMeys,428790,"['Ghent, Belgium']",44,500,93823,"['r', 'dataframe', 'function', 'shiny', 'matrix', 'ggplot2', 'plot', 'loops', 'package', 's4']","['r', 's4', 'package', 'function', 'matrix', 'r-faq', 'shiny', 'generics', 'coding-style', 'optimization']",0.502466371,0.231200454,0.321756728,0.253409526,0.897157368,0.113941653,0.444091244,0.34897477,0.357704541,0.096835972
@joshua_ulrich,271616,"['Saint Louis, MO, USA']",7,500,155575,"['r', 'xts', 'quantmod', 'time-series', 'zoo', 'quantstrat', 'dataframe', 'date', 'csv', 'posixct']","['r', 'function', 'r-faq', 'equation', 'roxygen2', 'r-forge', 'arguments', 'html', 'r-rook-package', 'parallel-processing']",0.923366842,0.150006081,0.125103677,0.030985273,0.290946756,0.012272062,0.523930195,0.128595663,0.458249846,0.27826632
@jreback,644898,[''],1,500,97756,"['pandas', 'python', 'numpy', 'hdf5', 'dataframe', 'pytables', 'datetime', 'python-2.7', 'hdfstore', 'multi-index']","['python', 'dask']",0.8787684,0.649009111,0.022765417,0.044978232,0.308162695,0.209661559,0.478851369,0.14223349,0.38302238,0.349511045
