answer_count,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,preferred_tags1,preferred_tags2,preferred_tags3,micro-oop,oop,web-pro,database,mobile,statistic,other
1.0,0.839299285,0.170988264,0.083983504,0.047367045,0.612100813,go,json,os,0,0,1,0,0,1,1
1.0,0.849555053,0.100009218,0.032557281,0.001653615,0.39203621,c#,.net,f#,1,0,0,0,0,0,0
1.0,0.894953661,0.124988726,0.083293539,0.009011015,0.288219526,c++,python,javascript,0,1,1,0,0,0,0
1.0,0.689215932,0.625448378,0.197740455,0.037678666,0.223963046,c#,java,.net,1,1,0,0,0,0,0
1.0,0.881778837,0.04261565,0.072976275,0.003884581,0.432515781,c#,ruby,0,1,0,1,0,0,0,0
1.0,0.908483025,0.036053434,0.051867423,0.020315048,0.535220471,java,0,javascript,0,1,1,0,0,0,0
1.0,0.889837107,0.542460686,0.111912273,0.018609271,0.359172437,c#,0,.net,1,0,0,0,0,0,0
1.0,0.943384851,0.144389307,0.029940162,0.000488135,0.290291329,python,c++,os,0,1,0,0,0,0,1
1.0,0.784907042,0.373113798,0.065500749,0.007660128,0.313509081,android,android,android,0,0,0,0,1,0,0
1.0,0.830269672,0.610332661,0.094850115,0.041251142,0.296324536,c++,objective-c,ios,0,1,0,0,1,0,0
1.0,0.92478293,0.089528253,0.138598054,0.011522692,0.161807065,c++,c,java,0,1,0,0,0,0,0
1.0,0.502466371,0.231200454,0.321756728,0.253409526,0.897157368,r,python,0,0,1,0,0,0,1,0
1.0,0.923366842,0.150006081,0.125103677,0.030985273,0.290946756,r,python,r,0,1,0,0,0,1,0
1.0,0.8787684,0.649009111,0.022765417,0.044978232,0.308162695,python,python,python,0,1,0,0,0,0,0
1.0,0.906011979,0.412524934,0.166901669,0.025387785,0.216581176,c++,ios,swift,0,1,0,0,1,0,0
1.0,0.866666366,0.20275576,0.241201422,0.012423684,0.333722592,sql-server,sql,sql,0,0,0,1,0,0,0
1.0,0.728215565,0.417443328,0.310451543,0.049950356,0.684054596,java,python,python,0,1,0,0,0,0,0
1.0,0.953108782,0.125518958,0.328120626,0.054810383,0.638763509,os,os,os,0,0,0,0,0,0,1
1.0,0.654301422,0.603104823,0.056929568,0.024484187,0.304385253,python,vb.net,0,1,1,0,0,0,0,0
1.0,0.83623348,0.463201339,0.027805187,0.00676596,0.456381028,os,.net,c#,1,0,0,0,0,0,1
1.0,0.872175674,0.152406038,0.116153848,0.008162965,0.482848011,c#,0,.net,1,0,0,0,0,0,0
1.0,0.991006282,0.22400481,0.15218856,0.055775054,0.365119618,python,python,python,0,1,0,0,0,0,0
1.0,0.956737554,0.360674003,0.120429061,0.055310051,0.138726878,c++,c,c++,0,1,0,0,0,0,0
0.9477124183006536,0.969204082,0.113048912,0.141419352,0.016013339,0.355974367,javascript,html,jquery,0,0,1,0,0,0,0
